edge_id,u,v,walk,car,walk_allowed,car_allowed
1,91,51,420,420,True,True
2,51,91,420,420,True,True
3,51,50,37,37,True,True
4,50,51,37,37,True,True
5,50,49,53,53,True,True
6,49,50,53,53,True,True
7,49,48,21,21,True,True
8,48,49,21,21,True,True
9,215,210,17,17,True,True
10,210,215,17,17,True,True
11,210,162,215,215,True,True
12,162,210,215,215,True,True
13,162,142,74,74,True,True
14,142,162,74,74,True,True
15,215,220,223,223,True,True
16,220,215,223,223,True,True
17,220,222,67,67,True,True
18,222,220,67,67,True,True
19,222,227,81,81,True,True
20,227,222,81,81,True,True
21,227,236,35,35,True,True
22,236,227,35,35,True,True
23,236,243,91,91,True,True
24,243,236,91,91,True,True
25,56,75,75,75,True,True
26,75,56,75,75,True,True
27,75,81,27,27,True,True
28,81,75,27,27,True,True
29,81,86,28,28,True,True
30,86,81,28,28,True,True
31,86,101,28,28,True,True
32,101,86,28,28,True,True
33,101,110,28,28,True,True
34,110,101,28,28,True,True
35,110,118,24,24,True,True
36,118,110,24,24,True,True
37,118,124,28,28,True,True
38,124,118,28,28,True,True
39,124,150,106,106,True,True
40,150,124,106,106,True,True
41,150,154,25,25,True,True
42,154,150,25,25,True,True
43,154,159,60,60,True,True
44,159,154,60,60,True,True
45,159,172,50,50,True,True
46,172,159,50,50,True,True
47,172,189,112,112,True,True
48,189,172,112,112,True,True
49,189,191,67,67,True,True
50,191,189,67,67,True,True
51,191,195,163,163,True,True
52,195,191,163,163,True,True
53,188,195,53,53,True,True
54,195,188,53,53,True,True
55,70,94,100000000,172,False,True
56,119,147,100000000,175,False,True
57,94,119,100000000,111,False,True
58,233,240,19,19,True,True
59,240,233,19,19,True,True
60,240,244,19,19,True,True
61,244,240,19,19,True,True
62,244,251,30,30,True,True
63,251,244,30,30,True,True
64,251,258,34,34,True,True
65,258,251,34,34,True,True
66,258,266,48,48,True,True
67,266,258,48,48,True,True
68,233,235,51,51,True,True
69,235,233,51,51,True,True
70,235,237,89,89,True,True
71,237,235,89,89,True,True
72,237,241,80,80,True,True
73,241,237,80,80,True,True
74,241,243,140,140,True,True
75,243,241,140,140,True,True
76,243,222,90,90,True,True
77,222,243,90,90,True,True
78,233,238,162,162,True,True
79,238,233,162,162,True,True
80,238,228,135,135,True,True
81,228,238,135,135,True,True
82,228,257,144,144,True,True
83,257,228,144,144,True,True
84,257,262,32,32,True,True
85,262,257,32,32,True,True
86,262,265,22,22,True,True
87,265,262,22,22,True,True
88,265,279,106,106,True,True
89,279,265,106,106,True,True
90,279,283,21,21,True,True
91,283,279,21,21,True,True
92,283,286,23,23,True,True
93,286,283,23,23,True,True
94,286,287,31,31,True,True
95,287,286,31,31,True,True
96,287,290,159,159,True,True
97,290,287,159,159,True,True
98,290,296,321,321,True,True
99,296,290,321,321,True,True
100,7,29,82,86,True,True
101,188,186,33,33,True,True
102,186,188,33,33,True,True
103,186,180,27,27,True,True
104,180,186,27,27,True,True
105,180,168,61,61,True,True
106,168,180,61,61,True,True
107,168,163,18,18,True,True
108,163,168,18,18,True,True
109,296,302,56,56,True,True
110,302,296,56,56,True,True
111,302,315,150,150,True,True
112,315,302,150,150,True,True
113,315,322,54,54,True,True
114,322,315,54,54,True,True
115,322,329,43,43,True,True
116,329,322,43,43,True,True
117,347,343,74,74,True,True
118,343,347,74,74,True,True
119,343,341,67,67,True,True
120,341,343,67,67,True,True
121,341,340,21,21,True,True
122,340,341,21,21,True,True
123,340,342,104,104,True,True
124,342,340,104,104,True,True
125,342,348,61,61,True,True
126,348,342,61,61,True,True
127,348,345,59,59,True,True
128,345,348,59,59,True,True
129,345,336,80,80,True,True
130,336,345,80,80,True,True
131,336,329,103,103,True,True
132,329,336,103,103,True,True
133,315,314,77,100000000,True,False
134,314,315,77,100000000,True,False
135,325,316,110,110,True,True
136,316,325,110,110,True,True
137,316,307,87,87,True,True
138,307,316,87,87,True,True
139,310,307,24,24,True,True
140,307,310,24,24,True,True
141,307,296,297,297,True,True
142,296,307,297,297,True,True
143,296,284,769,769,True,True
144,284,296,769,769,True,True
145,329,328,23,23,True,True
146,328,329,23,23,True,True
147,328,332,136,136,True,True
148,332,328,136,136,True,True
149,332,333,96,96,True,True
150,333,332,96,96,True,True
151,333,334,54,54,True,True
152,334,333,54,54,True,True
153,334,347,90,90,True,True
154,347,334,90,90,True,True
155,74,87,87,87,True,True
156,87,74,87,100000000,True,False
157,87,92,29,29,True,True
158,92,87,29,100000000,True,False
159,92,99,25,25,True,True
160,99,92,25,100000000,True,False
161,142,59,401,401,True,True
162,59,142,401,401,True,True
163,142,144,84,84,True,True
164,144,142,84,84,True,True
165,144,145,27,27,True,True
166,145,144,27,27,True,True
167,104,130,81,81,True,True
168,130,104,81,81,True,True
169,130,145,75,75,True,True
170,145,130,75,75,True,True
171,145,146,27,27,True,True
172,146,145,27,27,True,True
173,146,149,77,77,True,True
174,149,146,77,77,True,True
175,149,151,68,68,True,True
176,151,149,68,68,True,True
177,151,147,112,112,True,True
178,147,151,112,112,True,True
179,360,358,288,288,True,True
180,358,360,288,288,True,True
181,358,349,127,127,True,True
182,349,358,127,127,True,True
183,343,346,35,100000000,True,False
184,346,343,35,100000000,True,False
185,346,344,78,100000000,True,False
186,344,346,78,100000000,True,False
187,344,340,33,100000000,True,False
188,340,344,33,100000000,True,False
189,344,351,20,100000000,True,False
190,351,344,20,100000000,True,False
191,351,349,66,100000000,True,False
192,349,351,66,100000000,True,False
193,357,355,89,100000000,True,False
194,355,357,89,100000000,True,False
195,355,354,32,100000000,True,False
196,354,355,32,100000000,True,False
197,354,349,58,100000000,True,False
198,349,354,58,100000000,True,False
199,351,354,26,100000000,True,False
200,354,351,26,100000000,True,False
201,149,171,74,74,True,True
202,171,149,74,74,True,True
203,171,179,36,36,True,True
204,179,171,36,36,True,True
205,179,203,138,138,True,True
206,203,179,138,138,True,True
207,203,220,59,59,True,True
208,220,203,59,59,True,True
209,168,156,34,34,True,True
210,156,168,34,34,True,True
211,156,138,85,85,True,True
212,138,156,85,85,True,True
213,138,136,24,24,True,True
214,136,138,24,24,True,True
215,136,117,65,65,True,True
216,117,136,65,65,True,True
217,117,108,29,29,True,True
218,108,117,29,29,True,True
219,108,98,25,25,True,True
220,98,108,25,25,True,True
221,98,60,184,184,True,True
222,60,98,184,184,True,True
223,59,60,110,110,True,True
224,60,59,110,110,True,True
225,60,57,16,16,True,True
226,57,60,16,16,True,True
227,57,55,42,42,True,True
228,55,57,42,42,True,True
229,55,48,99,99,True,True
230,48,55,99,99,True,True
231,326,334,203,100000000,True,False
232,334,326,203,100000000,True,False
233,334,331,91,91,True,True
234,331,334,91,91,True,True
235,331,312,194,194,True,True
236,312,331,194,194,True,True
237,312,313,27,27,True,True
238,313,312,27,27,True,True
239,313,320,22,22,True,True
240,320,313,22,22,True,True
241,320,326,49,49,True,True
242,326,320,49,49,True,True
243,326,332,35,35,True,True
244,332,326,35,35,True,True
245,313,306,89,89,True,True
246,306,313,89,89,True,True
247,306,304,117,117,True,True
248,304,306,117,117,True,True
249,309,324,78,78,True,True
250,324,309,78,78,True,True
251,324,328,20,20,True,True
252,328,324,20,20,True,True
253,324,317,68,68,True,True
254,317,324,68,68,True,True
255,317,303,148,148,True,True
256,303,317,148,148,True,True
257,303,300,74,74,True,True
258,300,303,74,74,True,True
259,300,295,72,72,True,True
260,295,300,72,72,True,True
261,295,294,83,83,True,True
262,294,295,83,83,True,True
263,294,292,26,26,True,True
264,292,294,26,26,True,True
265,292,302,272,272,True,True
266,302,292,272,272,True,True
267,292,297,126,126,True,True
268,297,292,126,126,True,True
269,297,312,220,220,True,True
270,312,297,220,220,True,True
271,313,299,190,190,True,True
272,299,313,190,190,True,True
273,299,298,28,100000000,True,False
274,298,299,28,100000000,True,False
275,298,297,33,100000000,True,False
276,297,298,33,100000000,True,False
277,295,301,55,55,True,True
278,301,295,55,55,True,True
279,301,306,99,99,True,True
280,306,301,99,99,True,True
281,300,301,72,72,True,True
282,301,300,72,72,True,True
283,294,301,123,123,True,True
284,301,294,123,123,True,True
285,162,166,37,100000000,True,False
286,166,162,37,100000000,True,False
287,166,167,20,100000000,True,False
288,167,166,20,100000000,True,False
289,169,171,59,100000000,True,False
290,171,169,59,100000000,True,False
291,146,161,55,100000000,True,False
292,161,146,55,100000000,True,False
293,160,144,59,100000000,True,False
294,144,160,59,100000000,True,False
295,192,179,197,197,True,True
296,179,192,197,197,True,True
297,192,182,118,118,True,True
298,182,192,118,118,True,True
299,192,193,40,40,True,True
300,193,192,40,40,True,True
301,192,194,48,48,True,True
302,194,192,48,48,True,True
303,192,202,26,26,True,True
304,202,192,26,26,True,True
305,142,143,39,39,True,True
306,143,142,39,39,True,True
307,143,153,76,76,True,True
308,153,143,76,76,True,True
309,153,157,32,32,True,True
310,157,153,32,32,True,True
311,165,162,84,100000000,True,False
312,162,165,84,100000000,True,False
313,163,158,59,100000000,True,False
314,158,163,59,100000000,True,False
315,158,157,41,100000000,True,False
316,157,158,41,100000000,True,False
317,143,131,159,159,True,True
318,131,143,159,159,True,True
319,131,138,107,107,True,True
320,138,131,107,107,True,True
321,86,96,47,47,True,True
322,96,86,47,47,True,True
323,96,100,34,34,True,True
324,100,96,34,34,True,True
325,100,102,44,44,True,True
326,102,100,44,44,True,True
327,102,98,69,69,True,True
328,98,102,69,69,True,True
329,98,97,106,106,True,True
330,97,98,106,106,True,True
331,97,121,80,80,True,True
332,121,97,80,80,True,True
333,121,131,37,37,True,True
334,131,121,37,37,True,True
335,120,129,30,100000000,True,False
336,129,120,30,100000000,True,False
337,129,119,27,100000000,True,False
338,119,129,27,100000000,True,False
339,119,120,28,100000000,True,False
340,120,119,28,100000000,True,False
341,87,90,47,47,True,True
342,90,87,47,47,True,True
343,90,105,87,87,True,True
344,105,90,87,87,True,True
345,105,120,61,61,True,True
346,120,105,61,61,True,True
347,290,289,38,38,True,True
348,289,290,38,38,True,True
349,289,273,256,256,True,True
350,273,289,256,256,True,True
351,273,266,186,186,True,True
352,266,273,186,186,True,True
353,266,267,59,59,True,True
354,267,266,59,59,True,True
355,267,268,83,83,True,True
356,268,267,83,83,True,True
357,237,268,141,141,True,True
358,268,237,141,141,True,True
359,227,226,31,31,True,True
360,226,227,31,31,True,True
361,226,229,24,24,True,True
362,229,226,24,24,True,True
363,229,183,355,355,True,True
364,183,229,355,355,True,True
365,171,174,91,91,True,True
366,174,171,91,91,True,True
367,174,175,33,33,True,True
368,175,174,33,33,True,True
369,175,197,204,204,True,True
370,197,175,204,204,True,True
371,195,213,54,100000000,True,False
372,213,195,54,100000000,True,False
373,213,228,76,100000000,True,False
374,228,213,76,100000000,True,False
375,211,212,17,100000000,True,False
376,212,211,17,100000000,True,False
377,212,205,36,100000000,True,False
378,205,212,36,100000000,True,False
379,201,211,40,100000000,True,False
380,211,201,40,100000000,True,False
381,211,219,33,100000000,True,False
382,219,211,33,100000000,True,False
383,219,224,30,100000000,True,False
384,224,219,30,100000000,True,False
385,230,232,132,100000000,True,False
386,232,230,132,100000000,True,False
387,232,231,20,100000000,True,False
388,231,232,20,100000000,True,False
389,232,207,117,100000000,True,False
390,207,232,117,100000000,True,False
391,214,215,71,71,True,True
392,215,214,71,71,True,True
393,166,181,64,100000000,True,False
394,181,166,64,100000000,True,False
395,181,185,22,100000000,True,False
396,185,181,22,100000000,True,False
397,181,182,26,100000000,True,False
398,182,181,26,100000000,True,False
399,146,134,64,100000000,True,False
400,134,146,64,100000000,True,False
401,257,263,87,100000000,True,False
402,263,257,87,100000000,True,False
403,263,271,53,100000000,True,False
404,271,263,53,100000000,True,False
405,271,274,36,100000000,True,False
406,274,271,36,100000000,True,False
407,274,276,390,100000000,True,False
408,276,274,390,100000000,True,False
409,241,248,38,38,True,True
410,248,241,38,38,True,True
411,248,260,62,62,True,True
412,260,248,62,62,True,True
413,260,269,40,40,True,True
414,269,260,40,40,True,True
415,268,269,81,81,True,True
416,269,268,81,81,True,True
417,260,253,45,45,True,True
418,253,260,45,45,True,True
419,253,248,40,40,True,True
420,248,253,40,40,True,True
421,138,152,58,58,True,True
422,152,138,58,58,True,True
423,152,155,31,31,True,True
424,155,152,31,31,True,True
425,155,164,42,42,True,True
426,164,155,42,42,True,True
427,164,173,29,29,True,True
428,173,164,29,29,True,True
429,173,177,28,28,True,True
430,177,173,28,28,True,True
431,177,186,80,80,True,True
432,186,177,80,80,True,True
433,177,170,71,71,True,True
434,170,177,71,71,True,True
435,170,154,96,96,True,True
436,154,170,96,96,True,True
437,104,103,35,35,True,True
438,103,104,35,35,True,True
439,59,53,26,26,True,True
440,53,59,26,26,True,True
441,53,23,123,123,True,True
442,23,53,123,123,True,True
443,23,7,107,107,True,True
444,7,23,107,107,True,True
445,336,337,46,46,True,True
446,337,336,46,46,True,True
447,337,345,70,70,True,True
448,345,337,70,70,True,True
449,337,339,48,48,True,True
450,339,337,48,48,True,True
451,339,335,17,17,True,True
452,335,339,17,17,True,True
453,339,338,24,24,True,True
454,338,339,24,24,True,True
455,314,316,94,94,True,True
456,316,314,94,94,True,True
457,29,7,82,82,True,True
458,34,61,93,93,True,True
459,61,34,93,100000000,True,False
460,94,70,100000000,175,False,True
461,70,34,152,137,True,True
462,119,94,100000000,113,False,True
463,147,119,100000000,172,False,True
464,99,79,118,118,True,True
465,79,99,118,100000000,True,False
466,61,70,42,42,True,True
467,70,61,42,100000000,True,False
468,58,66,23,100000000,True,False
469,66,58,23,100000000,True,False
470,66,72,61,100000000,True,False
471,72,66,61,100000000,True,False
472,72,70,21,100000000,True,False
473,70,72,21,21,True,True
474,34,70,152,131,True,True
475,34,29,19,19,True,True
476,29,34,19,28,True,True
477,3,29,114,114,True,True
478,29,3,114,100000000,True,False
479,119,128,25,25,True,True
480,128,119,25,25,True,True
481,129,151,111,111,True,True
482,151,129,111,111,True,True
483,356,358,119,119,True,True
484,358,356,119,119,True,True
485,346,352,132,100000000,True,False
486,352,346,132,100000000,True,False
487,344,353,63,100000000,True,False
488,353,344,63,100000000,True,False
489,262,264,186,186,True,True
